ID,name,chain,rmsd_AR,align_len_AR,rmsd_GR,align_len_GR,rmsd_PHBEACH,align_len_PHBEACH
3r8a_A,3r8a,A,2.108,200,1.877,198,4.106,98
3r8d_A,3r8d,A,2.065,199,1.959,195,4.599,112
3t03_A,3t03,A,2.036,207,1.869,207,4.139,117
3tx7_A,3tx7,A,3.85,89,4.324,98,4.113,105
3vn2_A,3vn2,A,2.032,208,1.807,205,4.349,112
4a69_A,4a69,A,3.533,92,3.348,95,4.1,97
4a69_B,4a69,B,4.271,102,3.347,95,4.086,100
4a69_C,4a69,C,2.802,47,2.756,48,3.363,55
4aa6_A,4aa6,A,2.991,43,3.421,47,4.504,54
4aa6_B,4aa6,B,2.607,43,3.065,44,4.277,51
4aa6_E,4aa6,E,2.581,40,3.56,46,4.002,44
4aa6_F,4aa6,F,3.425,46,2.617,41,3.497,42
4b6h_A,4b6h,A,3.479,73,3.293,69,1.782,82
4ci5_A,4ci5,A,2.068,207,1.928,207,4.258,106
4ci5_B,4ci5,B,1.985,203,1.715,198,4.119,105
4eq1_A,4eq1,A,3.305,63,3.586,61,4.315,64
4eq1_B,4eq1,B,3.061,60,3.581,61,3.334,53
4fgy_A,4fgy,A,2.145,210,1.913,206,4.461,112
4ghi_A,4ghi,A,3.558,63,3.627,60,3.597,59
4ghi_B,4ghi,B,3.452,64,3.987,68,3.633,55
4gs9_A,4gs9,A,3.689,64,3.617,60,3.643,60
4gs9_B,4gs9,B,3.281,61,3.961,68,4.042,67
4h6j_A,4h6j,A,3.732,61,3.649,61,3.54,57
4h6j_B,4h6j,B,3.475,64,4.188,63,3.593,55
4hn5_A,4hn5,A,3.436,48,3.324,47,3.961,46
4hn5_B,4hn5,B,2.784,44,3.051,45,4.451,58
4hn6_A,4hn6,A,3.725,49,3.691,51,4.575,57
4hn6_B,4hn6,B,3.049,45,3.053,45,3.887,45
4iqr_A,4iqr,A,1.876,199,1.992,201,4.312,96
4iqr_B,4iqr,B,1.773,195,1.934,197,4.24,98
4iqr_E,4iqr,E,1.832,199,1.9,199,4.444,84
4iqr_F,4iqr,F,1.767,199,1.804,197,4.275,99
4j5w_A,4j5w,A,2.101,200,2.163,203,4.626,117
4j5w_B,4j5w,B,2.028,199,2.009,199,4.484,118
4j5x_A,4j5x,A,2.136,202,1.947,196,4.46,111
4j5x_B,4j5x,B,2.144,201,1.94,195,4.3,112
4jc3_A,4jc3,A,4.185,111,4.022,104,3.627,90
4jdd_A,4jdd,A,4.302,104,3.939,103,3.646,91
4log_A,4log,A,2.104,159,2.317,165,4.508,117
4log_B,4log,B,2.158,162,2.378,168,4.622,125
4lpz_A,4lpz,A,3.614,60,3.681,62,3.768,56
4lpz_B,4lpz,B,3.386,58,3.609,61,4.322,58
4nbo_A,4nbo,A,4.273,79,4.293,76,3.066,60
4nbo_B,4nbo,B,3.913,71,4.402,77,3.623,68
4nqa_A,4nqa,A,1.635,200,1.675,197,4.013,95
4nqa_B,4nqa,B,1.928,213,1.943,205,4.34,101
4nqa_H,4nqa,H,1.594,201,1.842,203,3.994,94
4nqa_I,4nqa,I,1.967,214,2.024,210,4.329,100
4ny9_A,4ny9,A,2.177,202,2.011,196,4.547,111
4o6f_A,4o6f,A,4.144,97,3.865,92,4.384,128
4pky_A,4pky,A,3.602,60,3.566,61,3.427,54
4pky_B,4pky,B,0.987,39,1.448,38,2.469,25
4pky_D,4pky,D,3.588,60,3.538,61,3.398,54
4pky_G,4pky,G,3.623,61,3.71,61,4.173,60
4prh_A,4prh,A,3.229,77,3.337,76,4.195,97
4prh_B,4prh,B,3.693,53,3.766,54,2.717,45
4prh_D,4prh,D,3.766,58,3.589,58,4.619,68
4prh_E,4prh,E,4.187,77,4.499,86,3.677,65
4pri_A,4pri,A,2.961,74,3.659,82,4.376,84
4pri_B,4pri,B,3.872,54,3.587,50,3.191,50
4pri_D,4pri,D,3.793,59,3.98,56,3.838,58
4pri_E,4pri,E,4.492,84,4.324,83,3.673,65
4prp_A,4prp,A,2.991,74,3.247,75,4.344,84
4prp_B,4prp,B,3.767,46,3.48,50,3.204,50
4prp_D,4prp,D,3.443,54,3.898,56,3.735,58
4prp_E,4prp,E,4.157,77,4.596,90,3.948,56
4qm0_C,4qm0,C,1.932,181,2.082,182,4.571,110
4s0s_A,4s0s,A,2.115,200,2.085,199,4.51,113
4s0s_B,4s0s,B,2.149,201,2.092,199,4.502,112
4s0s_D,4s0s,D,3.204,49,4.11,56,3.312,45
4s0s_E,4s0s,E,3.498,43,4.048,56,3.564,46
4s0t_A,4s0t,A,2.088,199,2.055,198,4.519,117
4s0t_B,4s0t,B,2.147,202,2.077,200,4.487,117
4s0t_D,4s0t,D,3.468,34,4.393,63,3.175,45
4s0t_E,4s0t,E,3.742,49,4.23,61,3.28,47
4x1f_A,4x1f,A,2.088,200,1.968,195,4.541,117
4x1g_A,4x1g,A,2.114,201,1.894,193,4.539,117
4xaj_A,4xaj,A,2.37,158,2.361,158,4.796,121
4xaj_B,4xaj,B,2.217,154,2.37,158,4.844,123
4xaj_C,4xaj,C,2.476,164,2.599,167,4.44,124
4xaj_D,4xaj,D,2.353,161,2.231,157,4.726,141
4xao_A,4xao,A,2.024,199,1.973,196,4.504,115
4xhd_A,4xhd,A,2.18,202,1.966,195,4.544,117
4xt2_A,4xt2,A,3.793,53,3.523,60,3.67,61
4xt2_B,4xt2,B,3.277,63,3.918,58,3.782,56
4xt2_C,4xt2,C,3.42,63,3.351,59,3.401,59
4xt2_D,4xt2,D,3.477,61,3.952,62,3.628,54
4ymq_A,4ymq,A,2.11,202,2.168,199,3.998,98
4zey_A,4zey,A,2.778,65,2.892,60,4.151,44
4zjr_D,4zjr,D,1.865,175,1.999,175,4.546,102
5a86_A,5a86,A,2.149,204,1.909,195,4.431,109
5a86_B,5a86,B,2.111,201,1.977,196,4.505,111
5aph_A,5aph,A,2.07,200,2.161,198,4.489,104
5apj_A,5apj,A,2.057,199,2.185,198,4.503,105
5apk_A,5apk,A,1.949,180,2.116,181,4.418,100
5azt_A,5azt,A,2.032,207,1.871,207,4.403,111
5cc1_A,5cc1,A,3.263,46,3.836,52,3.931,48
5cc1_B,5cc1,B,3.62,50,3.728,51,4.614,58
5cc1_W,5cc1,W,3.263,46,3.694,51,4.247,55
5cc1_X,5cc1,X,3.096,45,3.747,51,4.613,58
5dv3_A,5dv3,A,1.972,207,1.846,208,4.24,106
5dv6_A,5dv6,A,2.021,208,1.772,205,4.166,104
5dv8_A,5dv8,A,2.025,206,1.795,204,4.493,116
5dvc_A,5dvc,A,1.984,206,1.842,207,4.18,106
5dwl_A,5dwl,A,2.012,208,1.888,209,4.532,116
5e69_A,5e69,A,3.546,48,3.761,51,4.566,57
5e69_B,5e69,B,2.799,44,3.527,48,4.015,48
5e6a_A,5e6a,A,3.411,47,3.737,51,4.521,57
5e6a_B,5e6a,B,2.872,45,3.609,50,3.982,48
5e6b_A,5e6b,A,3.199,46,3.675,51,4.255,52
5e6b_B,5e6b,B,2.788,44,3.661,50,3.984,48
5e6c_A,5e6c,A,3.487,49,4.159,57,4.867,61
5e6c_B,5e6c,B,3.186,45,3.124,45,4.086,47
5e6d_A,5e6d,A,3.004,44,3.694,51,4.552,57
5e6d_B,5e6d,B,3.782,49,3.16,45,4.514,53
5emc_A,5emc,A,2.782,44,3.008,44,4.141,50
5emc_B,5emc,B,3.397,47,3.53,49,3.771,45
5emc_C,5emc,C,99.0,0,99.0,0,99.0,0
5emc_D,5emc,D,99.0,0,99.0,0,99.0,0
5emp_A,5emp,A,2.764,44,3.394,48,4.62,55
5emp_B,5emp,B,3.403,47,3.796,50,4.226,47
5emq_A,5emq,A,2.783,44,3.366,47,4.381,51
5emq_B,5emq,B,3.143,46,3.263,48,3.736,45
5g42_A,5g42,A,2.074,200,2.198,199,4.514,106
5g43_A,5g43,A,2.078,201,2.209,200,4.506,105
5gtn_A,5gtn,A,2.082,209,1.952,209,4.651,115
5gto_A,5gto,A,2.061,208,1.868,207,4.094,104
5gtp_A,5gtp,A,2.026,208,1.86,207,4.16,104
5ji0_D,5ji0,D,2.186,211,1.894,206,4.597,115
5kq1_A,5kq1,A,3.902,51,3.649,68,2.156,82
5kq1_B,5kq1,B,3.585,89,3.003,84,4.439,106
5kq1_D,5kq1,D,3.656,61,3.751,66,2.121,81
5kq1_E,5kq1,E,3.191,85,2.856,82,4.273,85
5kq4_A,5kq4,A,3.424,48,3.405,62,2.183,83
5kq4_B,5kq4,B,2.855,83,2.951,85,4.24,84
5kq4_D,5kq4,D,2.987,63,4.147,64,2.148,82
5kq4_E,5kq4,E,2.997,84,3.054,85,4.603,118
5l0m_A,5l0m,A,3.744,66,3.556,65,4.4,66
5n10_A,5n10,A,4.192,107,3.909,97,4.021,90
5n10_B,5n10,B,3.814,104,3.716,97,3.551,84
5ni7_A,5ni7,A,2.105,201,2.149,198,4.285,103
5ni8_A,5ni8,A,2.058,200,2.147,198,4.456,104
5nib_A,5nib,A,2.102,201,2.149,198,4.281,103
5nj8_A,5nj8,A,3.947,78,3.795,74,4.333,78
5nj8_B,5nj8,B,3.191,58,3.611,59,3.791,62
5nj8_C,5nj8,C,4.222,76,4.101,76,3.905,73
5nj8_D,5nj8,D,3.376,62,3.574,61,4.315,60
5ntk_B,5ntk,B,2.07,178,2.211,176,4.181,82
5nwx_A,5nwx,A,3.472,67,3.351,65,3.533,56
5tbm_A,5tbm,A,3.577,62,3.608,60,3.48,59
5tbm_B,5tbm,B,3.097,60,3.897,67,3.778,56
5uan_A,5uan,A,1.545,199,1.695,199,4.243,94
5uan_B,5uan,B,2.0,206,1.741,196,4.819,116
5ufp_A,5ufp,A,3.514,62,3.604,60,3.693,58
5ufp_B,5ufp,B,3.077,60,3.958,68,3.79,56
5uhi_B,5uhi,B,1.987,178,2.108,178,4.428,103
5v0l_A,5v0l,A,3.221,60,3.634,59,3.876,66
5v0l_B,5v0l,B,3.457,69,3.912,71,4.119,68
5va0_A,5va0,A,3.09,44,3.057,44,4.114,47
5va0_B,5va0,B,2.791,44,3.499,49,3.937,46
5va7_A,5va7,A,3.258,45,3.039,44,4.546,55
5vb3_A,5vb3,A,2.103,201,2.207,200,4.493,105
5vb5_A,5vb5,A,2.102,201,2.23,201,4.471,105
5vb6_A,5vb6,A,2.078,200,2.226,200,4.458,105
5vb7_A,5vb7,A,2.101,201,2.211,200,4.54,106
5vqk_A,5vqk,A,2.055,200,2.141,198,4.434,104
5vql_A,5vql,A,2.111,201,2.182,199,4.487,105
5x0r_B,5x0r,B,1.979,196,1.867,192,4.487,108
5y7y_A,5y7y,A,3.958,84,3.987,82,4.047,75
5y7y_B,5y7y,B,2.848,48,2.808,49,4.444,81
5ycn_A,5ycn,A,2.072,207,1.903,206,4.296,107
5ycp_A,5ycp,A,2.058,207,1.875,206,4.527,108
5zoo_G,5zoo,G,4.032,100,3.904,104,4.517,125
5zop_G,5zop,G,4.045,108,4.339,113,4.789,110
6an1_B,6an1,B,2.015,195,1.742,192,4.191,104
6bns_A,6bns,A,2.057,201,1.968,197,4.191,108
6bns_B,6bns,B,2.104,201,1.903,194,4.251,109
6bqu_A,6bqu,A,3.386,46,3.102,45,3.949,45
6bqu_B,6bqu,B,3.491,49,3.319,48,4.292,53
6bsf_A,6bsf,A,3.229,45,3.057,45,3.791,45
6bsf_B,6bsf,B,3.313,47,3.443,50,4.694,57
6cfn_A,6cfn,A,3.656,52,3.525,54,3.999,53
6cfn_B,6cfn,B,3.331,46,3.19,44,3.383,39
6cfn_C,6cfn,C,3.631,53,3.264,54,4.241,55
6cfn_D,6cfn,D,3.273,44,3.148,43,3.896,42
6cfn_E,6cfn,E,3.612,51,3.368,51,4.135,52
6cfn_F,6cfn,F,3.561,50,3.189,48,4.0,50
6cfn_G,6cfn,G,3.265,44,3.437,45,3.89,46
6cfn_H,6cfn,H,2.841,42,2.934,43,3.887,43
6czw_A,6czw,A,3.49,62,3.642,60,3.689,60
6czw_B,6czw,B,3.094,60,3.901,67,3.642,55
6d09_A,6d09,A,3.732,65,3.63,60,3.461,56
6d09_B,6d09,B,3.725,67,3.964,68,3.62,55
6d0b_A,6d0b,A,3.672,63,3.688,60,3.269,54
6d0b_B,6d0b,B,3.104,60,3.899,67,3.656,55
6d0c_A,6d0c,A,4.101,65,3.401,58,3.663,60
6d0c_B,6d0c,B,4.529,75,3.921,67,3.639,55
6d0y_A,6d0y,A,4.046,79,4.23,82,4.122,69
6d0y_C,6d0y,C,4.019,113,4.025,104,4.045,142
6dup_A,6dup,A,2.01,200,1.889,195,4.482,117
6dup_B,6dup,B,2.059,200,1.983,197,4.397,112
6esn_A,6esn,A,2.05,200,2.131,198,4.484,105
6fgq_A,6fgq,A,1.977,173,2.116,174,4.593,108
6hhp_A,6hhp,A,4.329,113,4.013,104,3.67,91
6hj2_A,6hj2,A,2.104,200,1.993,195,4.503,115
6hkb_A,6hkb,A,4.14,107,4.068,105,3.62,90
6hkf_A,6hkf,A,4.349,113,4.031,104,3.661,91
6hmu_A,6hmu,A,4.299,112,4.072,105,3.667,91
6hty_A,6hty,A,2.046,201,2.025,199,4.644,116
6hty_B,6hty,B,2.148,203,1.901,194,4.361,113
6ijr_A,6ijr,A,2.113,209,1.943,208,4.518,113
6ijr_C,6ijr,C,2.208,212,1.881,206,4.565,123
6ijs_A,6ijs,A,2.083,209,1.845,205,4.582,111
6jey_A,6jey,A,2.084,205,1.907,204,4.28,110
6jey_B,6jey,B,2.023,195,1.757,192,4.147,104
6jf0_A,6jf0,A,2.064,205,1.853,203,4.281,106
6k0t_C,6k0t,C,2.116,207,2.027,206,4.666,116
6ktm_A,6ktm,A,1.995,207,1.782,205,4.389,109
6ktn_A,6ktn,A,2.033,208,1.884,209,4.268,108
6l6l_A,6l6l,A,3.323,55,2.901,52,4.826,63
6l6l_B,6l6l,B,3.294,54,2.818,51,3.289,45
6l6q_A,6l6q,A,3.304,55,2.887,52,3.39,46
6l6q_B,6l6q,B,3.339,55,3.427,56,3.405,46
6lc1_A,6lc1,A,3.213,55,2.887,53,3.404,46
6lc1_D,6lc1,D,3.294,55,2.843,52,3.429,46
6lc1_G,6lc1,G,2.622,49,2.897,53,3.342,45
6lc1_J,6lc1,J,3.311,55,2.85,52,3.893,50
6lo9_A,6lo9,A,2.078,201,2.142,198,4.491,106
6loa_A,6loa,A,2.066,201,2.16,199,4.482,106
6lob_A,6lob,A,2.05,201,2.178,200,4.5,106
6loc_A,6loc,A,2.058,201,2.164,199,4.125,101
6nws_A,6nws,A,2.093,202,2.197,200,4.529,106
6nwt_C,6nwt,C,2.015,182,2.184,183,4.509,109
6nwu_A,6nwu,A,2.041,200,2.151,198,4.263,102
6nx1_A,6nx1,A,2.096,202,1.993,198,4.317,111
6nx1_B,6nx1,B,2.099,201,1.965,196,4.37,113
6o3z_A,6o3z,A,2.057,200,2.193,199,4.296,100
6oni_B,6oni,B,2.211,176,2.097,176,4.043,77
6p2b_A,6p2b,A,2.034,201,1.944,197,4.61,118
6p2b_B,6p2b,B,2.034,199,1.936,195,4.348,112
6p9f_A,6p9f,A,2.08,201,2.211,200,4.188,101
6p9f_B,6p9f,B,2.086,201,2.22,200,4.209,101
6pdz_A,6pdz,A,2.15,180,2.174,185,4.561,111
6pdz_B,6pdz,B,2.202,176,2.108,178,4.418,105
6r7a_A,6r7a,A,2.035,200,2.123,198,4.434,104
6r7k_A,6r7k,A,2.047,200,2.142,198,4.46,104
6s41_A,6s41,A,2.102,202,1.959,197,4.474,114
6s41_B,6s41,B,2.149,202,2.003,197,4.604,117
6sqc_A,6sqc,A,4.133,102,4.388,94,4.519,138
6tfi_A,6tfi,A,2.067,202,2.006,199,4.324,112
6tfi_B,6tfi,B,2.126,202,1.949,195,4.529,116
6tjm_A,6tjm,A,4.248,113,4.036,109,3.845,90
6tl3_A,6tl3,A,4.331,114,4.092,104,3.783,90
6u25_A,6u25,A,2.101,201,2.174,198,4.401,103
6vqf_A,6vqf,A,2.012,199,2.18,199,4.178,101
6w9h_A,6w9h,A,2.069,200,2.204,199,4.162,101
6w9i_A,6w9i,A,2.055,199,2.187,198,4.17,101
6x21_A,6x21,A,3.873,63,3.302,57,3.726,52
6x21_B,6x21,B,4.512,72,3.903,67,3.813,55
6x28_A,6x28,A,3.575,63,3.667,60,3.39,55
6x28_B,6x28,B,3.082,60,3.892,67,3.763,56
6x2h_A,6x2h,A,3.804,65,3.398,58,3.806,60
6x2h_B,6x2h,B,3.463,64,3.856,67,3.609,55
6x37_A,6x37,A,4.133,66,3.618,60,3.734,59
6x37_B,6x37,B,3.068,60,3.95,68,3.612,55
6x3d_A,6x3d,A,3.304,56,3.613,60,4.225,64
6x3d_B,6x3d,B,3.536,62,3.86,67,3.772,55
6x6d_A,6x6d,A,3.175,45,3.693,51,3.814,47
6x6d_B,6x6d,B,2.725,44,3.56,50,4.01,48
6x6e_A,6x6e,A,3.14,45,3.636,50,4.545,57
6x6e_B,6x6e,B,2.848,44,2.985,44,4.057,47
6xae_A,6xae,A,2.078,201,2.205,199,4.288,100
6xp9_A,6xp9,A,2.168,203,1.981,196,4.361,109
6xp9_B,6xp9,B,2.125,201,2.013,196,4.073,107
6xxc_A,6xxc,A,4.135,107,4.059,105,3.653,91
6xxs_A,6xxs,A,3.631,73,3.837,72,3.893,86
6xxs_B,6xxs,B,3.855,76,4.029,73,3.906,84
6xxs_E,6xxs,E,3.512,71,3.964,78,3.878,84
6xxs_F,6xxs,F,3.449,71,4.091,75,3.81,82
6xy5_A,6xy5,A,4.101,108,4.018,104,3.653,91
6xyx_A,6xyx,A,3.6,73,3.825,71,3.674,81
6xyx_B,6xyx,B,3.604,73,3.898,73,3.699,81
6xzz_A,6xzz,A,3.969,72,3.94,73,3.629,83
6y17_A,6y17,A,3.904,74,3.931,73,3.992,85
6y17_B,6y17,B,3.805,75,3.919,73,3.759,83
6y17_C,6y17,C,4.197,42,3.109,44,3.127,39
6y17_D,6y17,D,4.03,43,4.316,47,3.579,48
6y18_A,6y18,A,4.13,107,4.047,105,3.651,91
6y1d_A,6y1d,A,4.171,111,4.068,102,3.48,87
6y3w_A,6y3w,A,4.129,110,4.057,105,4.233,109
6y58_A,6y58,A,4.17,111,4.042,105,3.731,92
6ymo_A,6ymo,A,3.953,104,3.728,96,4.387,95
6ymo_B,6ymo,B,4.394,110,3.697,95,3.916,88
6yo8_A,6yo8,A,4.378,105,3.849,98,3.983,93
6yo8_B,6yo8,B,4.376,108,4.062,103,3.829,91
6yo8_C,6yo8,C,4.137,108,4.236,107,3.8,99
6yo8_D,6yo8,D,4.032,107,4.03,104,3.982,97
6yos_A,6yos,A,4.082,107,4.009,103,3.54,84
6yos_B,6yos,B,3.987,106,3.714,96,3.749,90
6zbu_A,6zbu,A,3.596,73,3.954,73,3.715,82
6zbu_B,6zbu,B,3.766,72,3.645,69,4.067,86
6zbu_E,6zbu,E,3.964,73,3.777,71,3.709,83
6zbu_F,6zbu,F,3.064,57,3.903,72,3.926,85
6zbu_I,6zbu,I,3.963,73,3.839,72,3.793,84
6zbu_J,6zbu,J,3.75,75,3.873,72,4.021,86
7ahj_A,7ahj,A,2.104,207,1.95,206,4.106,102
7ahj_B,7ahj,B,2.067,200,1.737,193,4.257,106
7ax8_A,7ax8,A,2.043,199,1.963,195,4.503,115
7ax9_A,7ax9,A,2.05,199,2.013,197,4.497,115
7axa_A,7axa,A,2.011,199,1.944,196,4.643,118
7axb_A,7axb,A,2.088,200,2.029,197,4.463,115
7axc_A,7axc,A,2.062,199,1.9,192,4.372,108
7axd_A,7axd,A,2.088,200,1.961,195,4.572,116
7axe_A,7axe,A,2.062,199,1.978,195,4.595,117
7axf_A,7axf,A,2.181,202,1.995,195,4.376,111
7axg_A,7axg,A,2.056,199,2.178,200,4.428,112
7axh_A,7axh,A,2.029,198,2.021,196,4.47,115
7axi_A,7axi,A,2.081,200,1.975,195,4.483,115
7axj_A,7axj,A,2.087,201,1.938,195,4.488,116
7axk_A,7axk,A,2.042,199,1.902,193,4.471,115
7axl_A,7axl,A,2.119,201,1.969,195,4.479,114
7b9m_A,7b9m,A,3.797,103,4.088,105,3.627,90
7b9r_A,7b9r,A,4.144,110,4.022,104,3.631,90
7b9t_A,7b9t,A,4.341,113,4.019,104,3.672,91
7ba3_A,7ba3,A,4.343,113,4.017,104,3.68,91
7ba5_A,7ba5,A,4.394,114,4.061,105,3.658,91
7ba6_A,7ba6,A,4.34,113,4.066,105,3.658,91
7ba7_A,7ba7,A,4.366,114,4.069,105,3.612,90
7ba8_A,7ba8,A,4.357,113,4.044,105,3.479,87
7ba9_A,7ba9,A,4.3,112,4.063,105,3.665,91
7baa_A,7baa,A,4.365,113,4.034,104,3.686,91
7bab_A,7bab,A,4.392,114,4.066,105,3.488,87
7bpy_A,7bpy,A,2.066,210,1.828,206,4.101,113
7bpy_C,7bpy,C,2.064,208,1.915,209,4.374,110
7bpz_A,7bpz,A,2.055,210,1.902,209,4.445,117
7bq0_A,7bq0,A,2.023,209,1.869,207,4.523,113
7bq0_C,7bq0,C,2.107,211,1.91,208,4.193,116
7bq1_A,7bq1,A,1.998,208,1.915,209,4.504,110
7c6q_A,7c6q,A,1.997,205,1.914,208,4.64,112
7cxf_A,7cxf,A,2.08,209,1.859,207,4.067,101
7cxh_A,7cxh,A,2.112,209,1.934,207,4.082,108
7cxi_A,7cxi,A,2.035,207,1.833,205,4.169,104
