ID,score_AR,score_ER,score_GR,score_PHBEACH
3erd_A,567.0,1217.0,611.0,645.0
3erd_B,563.0,1183.0,602.0,636.0
3ert_A,567.0,1217.0,611.0,649.0
3et1_A,559.0,552.0,521.0,663.0
3et1_B,564.0,563.0,526.0,671.0
3et3_A,543.0,537.0,533.0,678.0
3f1n_B,344.0,315.0,339.0,394.0
3f1o_B,344.0,315.0,339.0,394.0
3f1p_A,325.0,338.0,346.0,405.0
3f1p_B,343.0,314.0,339.0,390.0
3fei_A,542.0,533.0,504.0,638.0
3fej_A,541.0,535.0,531.0,677.0
3fug_A,530.0,537.0,507.0,586.0
3fur_A,548.0,533.0,538.0,674.0
3fxv_A,510.0,508.0,519.0,621.0
3g8i_A,549.0,543.0,510.0,652.0
3g9e_A,541.0,535.0,531.0,677.0
3gn8_A,838.0,591.0,1101.0,685.0
3gn8_B,838.0,591.0,1101.0,685.0
3gyt_A,505.0,497.0,515.0,660.0
3gyu_A,496.0,482.0,502.0,644.0
3h0a_A,524.0,531.0,499.0,579.0
3h0a_D,548.0,536.0,539.0,687.0
3h52_A,816.0,583.0,1247.0,666.0
3h52_B,825.0,587.0,1267.0,670.0
3h52_C,774.0,585.0,1204.0,646.0
3h52_D,776.0,568.0,1188.0,640.0
3h7w_B,343.0,313.0,338.0,386.0
3h82_B,343.0,319.0,342.0,391.0
3h82_A,327.0,340.0,347.0,406.0
3hc5_A,527.0,515.0,530.0,628.0
3hc6_A,526.0,518.0,539.0,630.0
3hlv_A,562.0,1189.0,603.0,641.0
3hlv_B,559.0,1192.0,602.0,644.0
3hm1_A,559.0,1162.0,590.0,636.0
3hm1_B,559.0,1156.0,590.0,639.0
3hvl_A,580.0,553.0,594.0,720.0
3hvl_B,585.0,555.0,598.0,720.0
3imy_A,499.0,539.0,505.0,634.0
3ipq_A,498.0,498.0,481.0,621.0
3ips_A,507.0,502.0,492.0,630.0
3ips_B,507.0,502.0,492.0,631.0
3ipu_A,512.0,505.0,499.0,640.0
3ipu_B,512.0,505.0,492.0,633.0
3k22_A,834.0,593.0,1292.0,682.0
3k22_B,831.0,596.0,1291.0,682.0
3k23_A,823.0,594.0,1265.0,671.0
3k23_B,827.0,592.0,1273.0,670.0
3k23_C,824.0,591.0,1271.0,678.0
3k6p_A,516.0,548.0,542.0,597.0
3kmr_A,508.0,494.0,499.0,627.0
3kmz_B,500.0,473.0,487.0,605.0
3kmz_A,500.0,473.0,487.0,605.0
3kwy_A,529.0,533.0,506.0,580.0
3kyt_A,518.0,525.0,514.0,633.0
3l03_A,558.0,1169.0,597.0,639.0
3l03_B,565.0,1192.0,606.0,644.0
3l0e_A,507.0,502.0,498.0,665.0
3l0j_A,518.0,525.0,514.0,633.0
3l0l_A,530.0,525.0,519.0,640.0
3l0l_B,530.0,525.0,520.0,640.0
3l3x_A,1307.0,561.0,836.0,660.0
3l3z_A,1302.0,561.0,832.0,660.0
3lbd_A,496.0,498.0,506.0,646.0
3lmp_A,541.0,536.0,532.0,680.0
3n00_A,469.0,464.0,470.0,533.0
3o1d_A,539.0,539.0,541.0,634.0
3o1e_A,539.0,539.0,541.0,634.0
3oap_A,532.0,538.0,513.0,588.0
3okh_A,517.0,515.0,526.0,627.0
3oki_A,528.0,517.0,533.0,631.0
3oki_C,528.0,517.0,533.0,631.0
3olf_A,528.0,517.0,533.0,631.0
3olf_C,528.0,517.0,533.0,631.0
3oll_A,565.0,841.0,588.0,619.0
3oll_B,565.0,841.0,588.0,616.0
3ols_A,565.0,840.0,575.0,603.0
3ols_B,556.0,831.0,573.0,597.0
3omk_A,528.0,517.0,533.0,631.0
3omk_C,528.0,517.0,533.0,631.0
3omm_A,528.0,517.0,533.0,631.0
3omm_C,528.0,517.0,533.0,631.0
3omo_A,565.0,840.0,575.0,603.0
3omo_B,556.0,831.0,573.0,597.0
3omp_A,565.0,840.0,575.0,603.0
3omp_B,556.0,831.0,573.0,597.0
3omq_A,565.0,840.0,575.0,603.0
3omq_B,556.0,831.0,573.0,597.0
3oof_A,528.0,517.0,533.0,631.0
3oof_C,528.0,517.0,533.0,631.0
3ook_A,528.0,517.0,533.0,631.0
3ook_C,528.0,517.0,533.0,631.0
3os8_A,557.0,1226.0,595.0,636.0
3os8_B,557.0,1226.0,595.0,636.0
3os8_C,544.0,1183.0,589.0,626.0
3os8_D,549.0,1162.0,592.0,626.0
3os9_A,549.0,1183.0,595.0,634.0
3os9_B,550.0,1166.0,580.0,626.0
3os9_C,537.0,1117.0,566.0,613.0
3os9_D,524.0,1060.0,551.0,598.0
3osa_A,555.0,1221.0,594.0,636.0
3osa_B,557.0,1220.0,592.0,636.0
3osa_C,540.0,1168.0,574.0,626.0
3osa_D,545.0,1147.0,577.0,626.0
3ozj_A,532.0,539.0,513.0,589.0
3ozj_C,532.0,539.0,513.0,589.0
3p0u_A,530.0,501.0,517.0,603.0
3p0u_B,520.0,493.0,509.0,596.0
3p88_A,531.0,515.0,535.0,627.0
3p89_A,518.0,504.0,520.0,616.0
3pcu_A,530.0,537.0,507.0,586.0
3plz_A,538.0,545.0,552.0,625.0
3plz_B,544.0,549.0,560.0,650.0
3prg_A,557.0,544.0,546.0,686.0
3q95_A,565.0,1196.0,611.0,648.0
3q95_B,565.0,1205.0,604.0,654.0
3qt0_A,546.0,545.0,530.0,685.0
3r29_A,524.0,535.0,503.0,581.0
3r29_B,524.0,535.0,503.0,581.0
3r2a_A,519.0,530.0,506.0,584.0
3r2a_B,540.0,538.0,522.0,598.0
3r2a_C,515.0,508.0,486.0,568.0
3r2a_D,540.0,544.0,525.0,601.0
3r5m_A,532.0,539.0,513.0,589.0
3r5m_C,532.0,537.0,509.0,588.0
3r8a_A,524.0,525.0,519.0,671.0
3r8a_B,519.0,519.0,505.0,655.0
3r8d_A,555.0,532.0,561.0,700.0
3rlj_A,1297.0,556.0,832.0,654.0
3rll_A,1239.0,556.0,800.0,637.0
3rut_A,527.0,515.0,530.0,628.0
3ruu_A,527.0,515.0,530.0,628.0
3rvf_A,525.0,515.0,529.0,628.0
3s9s_A,536.0,540.0,524.0,676.0
3t03_A,543.0,536.0,528.0,678.0
3t03_B,535.0,522.0,521.0,663.0
3tx7_A,704.0,679.0,705.0,911.0
3tx7_B,507.0,515.0,520.0,605.0
3up0_A,511.0,490.0,517.0,651.0
3up0_B,511.0,490.0,517.0,651.0
3up3_A,511.0,490.0,517.0,651.0
3uu7_A,560.0,1184.0,597.0,638.0
3uu7_B,557.0,1152.0,590.0,638.0
3uua_A,563.0,1197.0,607.0,647.0
3uua_B,552.0,1129.0,587.0,634.0
3uuc_A,535.0,1111.0,572.0,613.0
3uuc_B,558.0,1126.0,587.0,638.0
3uuc_C,537.0,1147.0,584.0,623.0
3uuc_D,560.0,1134.0,597.0,637.0
3uud_A,563.0,1184.0,606.0,644.0
3uud_B,559.0,1161.0,595.0,638.0
3v3e_B,554.0,541.0,539.0,636.0
3v3e_A,552.0,538.0,538.0,635.0
3v3q_A,554.0,533.0,539.0,635.0
3v3q_B,554.0,541.0,541.0,639.0
3v49_A,1274.0,556.0,820.0,650.0
3v4a_A,1274.0,556.0,820.0,650.0
3v9y_A,541.0,535.0,531.0,680.0
3vn2_A,541.0,536.0,532.0,677.0
4a69_A,606.0,589.0,640.0,820.0
4a69_B,606.0,589.0,640.0,820.0
4b7w_A,487.0,454.0,475.0,552.0
4b7w_C,487.0,454.0,475.0,552.0
4ci5_A,548.0,535.0,538.0,684.0
4ci5_B,544.0,542.0,527.0,674.0
4csj_A,828.0,586.0,1276.0,667.0
4dk7_A,490.0,488.0,486.0,641.0
4dk7_C,489.0,483.0,482.0,643.0
4dk8_A,495.0,492.0,490.0,645.0
4dk8_C,494.0,489.0,487.0,648.0
4dm6_A,502.0,515.0,507.0,641.0
4dm6_B,501.0,511.0,506.0,637.0
4dm8_A,498.0,513.0,506.0,641.0
4dm8_B,501.0,511.0,506.0,637.0
4dma_A,564.0,1178.0,604.0,640.0
4dma_B,562.0,1159.0,601.0,639.0
4dor_A,523.0,533.0,537.0,622.0
4dor_B,544.0,553.0,563.0,648.0
4dos_A,544.0,556.0,562.0,646.0
4dqm_A,508.0,494.0,499.0,627.0
4dqm_C,508.0,494.0,499.0,627.0
4e2j_A,836.0,586.0,1090.0,681.0
4e2j_B,838.0,587.0,1092.0,684.0
4eq1_A,336.0,307.0,334.0,397.0
4f9m_A,541.0,535.0,531.0,680.0
4fgy_A,537.0,543.0,529.0,681.0
4fhh_A,539.0,538.0,541.0,634.0
4fhi_A,539.0,538.0,541.0,634.0
4g1d_A,539.0,538.0,541.0,634.0
4g1y_A,539.0,538.0,541.0,634.0
4g1z_A,539.0,538.0,541.0,634.0
4g20_A,539.0,536.0,541.0,633.0
4g21_A,539.0,538.0,541.0,634.0
4g2h_A,539.0,538.0,541.0,634.0
4ghi_B,343.0,313.0,338.0,386.0
4hee_X,534.0,531.0,524.0,664.0
4hlw_A,1270.0,557.0,823.0,652.0
4ia1_A,539.0,538.0,541.0,634.0
4ia2_A,539.0,538.0,541.0,634.0
4ia3_A,539.0,538.0,541.0,634.0
4ia7_A,539.0,538.0,541.0,634.0
4iqr_A,563.0,531.0,541.0,694.0
4iqr_B,563.0,531.0,548.0,706.0
4iqr_E,566.0,533.0,545.0,694.0
4iqr_F,569.0,539.0,557.0,714.0
4is8_A,545.0,544.0,541.0,630.0
4is8_B,545.0,544.0,541.0,630.0
4iu7_A,557.0,1170.0,598.0,638.0
