,dimer1,dimer2,similarity
55,3IPU_AB,6S4N_DC,0.896
56,3IPU_AB,7E2O_AB,0.95
57,3IPU_AB,8X7E_EG,0.9
58,5AVI_AC,3IPS_AB,0.994
59,5AVI_AC,3IPU_AB,1.0
60,5AVI_AC,5HJS_AB,0.998
61,5AVI_AC,5JJM_AB,0.9
62,5AVI_AC,5JJM_AC,0.89
63,5AVI_AC,5JJM_AD,0.9
64,5AVI_AC,5JJM_BC,0.884
65,5AVI_AC,5JJM_BD,0.89
66,5AVI_AC,5JJM_CD,0.9
67,5AVI_AC,5X8Q_CE,0.9
68,5AVI_AC,5X8Q_CG,0.9
69,5AVI_AC,5X8Q_EG,0.9
70,5AVI_AC,6A22_AC,0.9
71,5AVI_AC,6A22_AE,0.9
72,5AVI_AC,6A22_AG,0.9
73,5AVI_AC,6A22_CE,0.9
74,5AVI_AC,6A22_CG,0.9
75,5AVI_AC,6A22_EG,0.9
76,5AVI_AC,6IVX_AC,0.9
77,5AVI_AC,6IVX_AE,0.9
78,5AVI_AC,6IVX_CE,0.9
79,5AVI_AC,6S4N_AB,0.896
80,5AVI_AC,6S4N_AC,0.882
81,5AVI_AC,6S4N_BC,0.972
82,5AVI_AC,6S4N_DA,0.978
83,5AVI_AC,6S4N_DB,0.9
84,5AVI_AC,6S4N_DC,0.896
85,5AVI_AC,7E2O_AB,0.95
86,5AVI_AC,8X7E_EG,0.9
87,5HJS_AB,3IPS_AB,0.996
88,5HJS_AB,3IPU_AB,0.998
89,5HJS_AB,5AVI_AC,0.998
90,5HJS_AB,5JJM_AB,0.898
91,5HJS_AB,5JJM_AC,0.888
92,5HJS_AB,5JJM_AD,0.898
93,5HJS_AB,5JJM_BC,0.882
94,5HJS_AB,5JJM_BD,0.888
95,5HJS_AB,5JJM_CD,0.898
96,5HJS_AB,5X8Q_CE,0.898
97,5HJS_AB,5X8Q_CG,0.898
98,5HJS_AB,5X8Q_EG,0.898
99,5HJS_AB,6A22_AC,0.898
100,5HJS_AB,6A22_AE,0.898
101,5HJS_AB,6A22_AG,0.898
102,5HJS_AB,6A22_CE,0.898
103,5HJS_AB,6A22_CG,0.898
104,5HJS_AB,6A22_EG,0.898
105,5HJS_AB,6IVX_AC,0.898
106,5HJS_AB,6IVX_AE,0.898
107,5HJS_AB,6IVX_CE,0.898
108,5HJS_AB,6S4N_AB,0.894
109,5HJS_AB,6S4N_AC,0.88
110,5HJS_AB,6S4N_BC,0.974
111,5HJS_AB,6S4N_DA,0.98
112,5HJS_AB,6S4N_DB,0.898
113,5HJS_AB,6S4N_DC,0.894
114,5HJS_AB,7E2O_AB,0.952
115,5HJS_AB,8X7E_EG,0.898
116,5JJM_AB,3IPS_AB,0.902
117,5JJM_AB,3IPU_AB,0.9
118,5JJM_AB,5AVI_AC,0.9
119,5JJM_AB,5HJS_AB,0.898
120,5JJM_AB,5JJM_AC,0.99
121,5JJM_AB,5JJM_AD,1.0
122,5JJM_AB,5JJM_BC,0.984
123,5JJM_AB,5JJM_BD,0.99
124,5JJM_AB,5JJM_CD,1.0
125,5JJM_AB,5X8Q_CE,1.0
126,5JJM_AB,5X8Q_CG,1.0
127,5JJM_AB,5X8Q_EG,1.0
128,5JJM_AB,6A22_AC,1.0
129,5JJM_AB,6A22_AE,1.0
130,5JJM_AB,6A22_AG,1.0
131,5JJM_AB,6A22_CE,1.0
132,5JJM_AB,6A22_CG,1.0
133,5JJM_AB,6A22_EG,1.0
134,5JJM_AB,6IVX_AC,1.0
135,5JJM_AB,6IVX_AE,1.0
136,5JJM_AB,6IVX_CE,1.0
137,5JJM_AB,6S4N_AB,0.996
138,5JJM_AB,6S4N_AC,0.982
139,5JJM_AB,6S4N_BC,0.9
140,5JJM_AB,6S4N_DA,0.878
141,5JJM_AB,6S4N_DB,1.0
142,5JJM_AB,6S4N_DC,0.996
143,5JJM_AB,7E2O_AB,0.914
144,5JJM_AB,8X7E_EG,1.0
145,5JJM_AC,3IPS_AB,0.892
146,5JJM_AC,3IPU_AB,0.89
147,5JJM_AC,5AVI_AC,0.89
148,5JJM_AC,5HJS_AB,0.888
149,5JJM_AC,5JJM_AB,0.99
150,5JJM_AC,5JJM_AD,0.99
151,5JJM_AC,5JJM_BC,0.974
152,5JJM_AC,5JJM_BD,1.0
153,5JJM_AC,5JJM_CD,0.99
154,5JJM_AC,5X8Q_CE,0.99
155,5JJM_AC,5X8Q_CG,0.99
156,5JJM_AC,5X8Q_EG,0.99
157,5JJM_AC,6A22_AC,0.99
158,5JJM_AC,6A22_AE,0.99
159,5JJM_AC,6A22_AG,0.99
160,5JJM_AC,6A22_CE,0.99
161,5JJM_AC,6A22_CG,0.99
162,5JJM_AC,6A22_EG,0.99
163,5JJM_AC,6IVX_AC,0.99
164,5JJM_AC,6IVX_AE,0.99
165,5JJM_AC,6IVX_CE,0.99
166,5JJM_AC,6S4N_AB,0.986
167,5JJM_AC,6S4N_AC,0.972
168,5JJM_AC,6S4N_BC,0.89
169,5JJM_AC,6S4N_DA,0.868
170,5JJM_AC,6S4N_DB,0.99
171,5JJM_AC,6S4N_DC,0.986
172,5JJM_AC,7E2O_AB,0.904
173,5JJM_AC,8X7E_EG,0.99
174,5JJM_AD,3IPS_AB,0.902
175,5JJM_AD,3IPU_AB,0.9
176,5JJM_AD,5AVI_AC,0.9
177,5JJM_AD,5HJS_AB,0.898
178,5JJM_AD,5JJM_AB,1.0
179,5JJM_AD,5JJM_AC,0.99
180,5JJM_AD,5JJM_BC,0.984
181,5JJM_AD,5JJM_BD,0.99
182,5JJM_AD,5JJM_CD,1.0
183,5JJM_AD,5X8Q_CE,1.0
184,5JJM_AD,5X8Q_CG,1.0
185,5JJM_AD,5X8Q_EG,1.0
186,5JJM_AD,6A22_AC,1.0
187,5JJM_AD,6A22_AE,1.0
188,5JJM_AD,6A22_AG,1.0
189,5JJM_AD,6A22_CE,1.0
190,5JJM_AD,6A22_CG,1.0
191,5JJM_AD,6A22_EG,1.0
192,5JJM_AD,6IVX_AC,1.0
193,5JJM_AD,6IVX_AE,1.0
194,5JJM_AD,6IVX_CE,1.0
195,5JJM_AD,6S4N_AB,0.996
196,5JJM_AD,6S4N_AC,0.982
197,5JJM_AD,6S4N_BC,0.9
198,5JJM_AD,6S4N_DA,0.878
199,5JJM_AD,6S4N_DB,1.0
200,5JJM_AD,6S4N_DC,0.996
201,5JJM_AD,7E2O_AB,0.914
202,5JJM_AD,8X7E_EG,1.0
203,5JJM_BC,3IPS_AB,0.886
204,5JJM_BC,3IPU_AB,0.884
205,5JJM_BC,5AVI_AC,0.884
206,5JJM_BC,5HJS_AB,0.882
207,5JJM_BC,5JJM_AB,0.984
208,5JJM_BC,5JJM_AC,0.974
209,5JJM_BC,5JJM_AD,0.984
210,5JJM_BC,5JJM_BD,0.974
211,5JJM_BC,5JJM_CD,0.984
212,5JJM_BC,5X8Q_CE,0.984
213,5JJM_BC,5X8Q_CG,0.984
214,5JJM_BC,5X8Q_EG,0.984
215,5JJM_BC,6A22_AC,0.984
216,5JJM_BC,6A22_AE,0.984
217,5JJM_BC,6A22_AG,0.984
218,5JJM_BC,6A22_CE,0.984
219,5JJM_BC,6A22_CG,0.984
220,5JJM_BC,6A22_EG,0.984
221,5JJM_BC,6IVX_AC,0.984
222,5JJM_BC,6IVX_AE,0.984
223,5JJM_BC,6IVX_CE,0.984
224,5JJM_BC,6S4N_AB,0.98
225,5JJM_BC,6S4N_AC,0.966
226,5JJM_BC,6S4N_BC,0.884
227,5JJM_BC,6S4N_DA,0.862
228,5JJM_BC,6S4N_DB,0.984
229,5JJM_BC,6S4N_DC,0.98
230,5JJM_BC,7E2O_AB,0.898
231,5JJM_BC,8X7E_EG,0.984
232,5JJM_BD,3IPS_AB,0.892
233,5JJM_BD,3IPU_AB,0.89
234,5JJM_BD,5AVI_AC,0.89
235,5JJM_BD,5HJS_AB,0.888
236,5JJM_BD,5JJM_AB,0.99
237,5JJM_BD,5JJM_AC,1.0
238,5JJM_BD,5JJM_AD,0.99
239,5JJM_BD,5JJM_BC,0.974
240,5JJM_BD,5JJM_CD,0.99
241,5JJM_BD,5X8Q_CE,0.99
242,5JJM_BD,5X8Q_CG,0.99
243,5JJM_BD,5X8Q_EG,0.99
244,5JJM_BD,6A22_AC,0.99
245,5JJM_BD,6A22_AE,0.99
246,5JJM_BD,6A22_AG,0.99
247,5JJM_BD,6A22_CE,0.99
248,5JJM_BD,6A22_CG,0.99
249,5JJM_BD,6A22_EG,0.99
250,5JJM_BD,6IVX_AC,0.99
251,5JJM_BD,6IVX_AE,0.99
252,5JJM_BD,6IVX_CE,0.99
253,5JJM_BD,6S4N_AB,0.986
254,5JJM_BD,6S4N_AC,0.972
255,5JJM_BD,6S4N_BC,0.89
256,5JJM_BD,6S4N_DA,0.868
257,5JJM_BD,6S4N_DB,0.99
258,5JJM_BD,6S4N_DC,0.986
259,5JJM_BD,7E2O_AB,0.904
260,5JJM_BD,8X7E_EG,0.99
261,5JJM_CD,3IPS_AB,0.902
262,5JJM_CD,3IPU_AB,0.9
263,5JJM_CD,5AVI_AC,0.9
264,5JJM_CD,5HJS_AB,0.898
265,5JJM_CD,5JJM_AB,1.0
266,5JJM_CD,5JJM_AC,0.99
267,5JJM_CD,5JJM_AD,1.0
268,5JJM_CD,5JJM_BC,0.984
269,5JJM_CD,5JJM_BD,0.99
270,5JJM_CD,5X8Q_CE,1.0
271,5JJM_CD,5X8Q_CG,1.0
272,5JJM_CD,5X8Q_EG,1.0
273,5JJM_CD,6A22_AC,1.0
274,5JJM_CD,6A22_AE,1.0
275,5JJM_CD,6A22_AG,1.0
276,5JJM_CD,6A22_CE,1.0
277,5JJM_CD,6A22_CG,1.0
278,5JJM_CD,6A22_EG,1.0
279,5JJM_CD,6IVX_AC,1.0
280,5JJM_CD,6IVX_AE,1.0
281,5JJM_CD,6IVX_CE,1.0
282,5JJM_CD,6S4N_AB,0.996
283,5JJM_CD,6S4N_AC,0.982
284,5JJM_CD,6S4N_BC,0.9
285,5JJM_CD,6S4N_DA,0.878
286,5JJM_CD,6S4N_DB,1.0
287,5JJM_CD,6S4N_DC,0.996
288,5JJM_CD,7E2O_AB,0.914
289,5JJM_CD,8X7E_EG,1.0
290,5X8Q_CE,3IPS_AB,0.902
291,5X8Q_CE,3IPU_AB,0.9
292,5X8Q_CE,5AVI_AC,0.9
293,5X8Q_CE,5HJS_AB,0.898
294,5X8Q_CE,5JJM_AB,1.0
295,5X8Q_CE,5JJM_AC,0.99
296,5X8Q_CE,5JJM_AD,1.0
297,5X8Q_CE,5JJM_BC,0.984
298,5X8Q_CE,5JJM_BD,0.99
299,5X8Q_CE,5JJM_CD,1.0
300,5X8Q_CE,5X8Q_CG,1.0
301,5X8Q_CE,5X8Q_EG,1.0
302,5X8Q_CE,6A22_AC,1.0
303,5X8Q_CE,6A22_AE,1.0
304,5X8Q_CE,6A22_AG,1.0
305,5X8Q_CE,6A22_CE,1.0
306,5X8Q_CE,6A22_CG,1.0
307,5X8Q_CE,6A22_EG,1.0
308,5X8Q_CE,6IVX_AC,1.0
309,5X8Q_CE,6IVX_AE,1.0
310,5X8Q_CE,6IVX_CE,1.0
311,5X8Q_CE,6S4N_AB,0.996
312,5X8Q_CE,6S4N_AC,0.982
313,5X8Q_CE,6S4N_BC,0.9
314,5X8Q_CE,6S4N_DA,0.878
315,5X8Q_CE,6S4N_DB,1.0
316,5X8Q_CE,6S4N_DC,0.996
317,5X8Q_CE,7E2O_AB,0.914
318,5X8Q_CE,8X7E_EG,1.0
319,5X8Q_CG,3IPS_AB,0.902
320,5X8Q_CG,3IPU_AB,0.9
321,5X8Q_CG,5AVI_AC,0.9
322,5X8Q_CG,5HJS_AB,0.898
323,5X8Q_CG,5JJM_AB,1.0
324,5X8Q_CG,5JJM_AC,0.99
325,5X8Q_CG,5JJM_AD,1.0
326,5X8Q_CG,5JJM_BC,0.984
327,5X8Q_CG,5JJM_BD,0.99
328,5X8Q_CG,5JJM_CD,1.0
329,5X8Q_CG,5X8Q_CE,1.0
330,5X8Q_CG,5X8Q_EG,1.0
331,5X8Q_CG,6A22_AC,1.0
332,5X8Q_CG,6A22_AE,1.0
333,5X8Q_CG,6A22_AG,1.0
334,5X8Q_CG,6A22_CE,1.0
335,5X8Q_CG,6A22_CG,1.0
336,5X8Q_CG,6A22_EG,1.0
337,5X8Q_CG,6IVX_AC,1.0
338,5X8Q_CG,6IVX_AE,1.0
339,5X8Q_CG,6IVX_CE,1.0
340,5X8Q_CG,6S4N_AB,0.996
341,5X8Q_CG,6S4N_AC,0.982
342,5X8Q_CG,6S4N_BC,0.9
343,5X8Q_CG,6S4N_DA,0.878
344,5X8Q_CG,6S4N_DB,1.0
345,5X8Q_CG,6S4N_DC,0.996
346,5X8Q_CG,7E2O_AB,0.914
347,5X8Q_CG,8X7E_EG,1.0
348,5X8Q_EG,3IPS_AB,0.902
349,5X8Q_EG,3IPU_AB,0.9
350,5X8Q_EG,5AVI_AC,0.9
351,5X8Q_EG,5HJS_AB,0.898
352,5X8Q_EG,5JJM_AB,1.0
353,5X8Q_EG,5JJM_AC,0.99
354,5X8Q_EG,5JJM_AD,1.0
355,5X8Q_EG,5JJM_BC,0.984
356,5X8Q_EG,5JJM_BD,0.99
357,5X8Q_EG,5JJM_CD,1.0
358,5X8Q_EG,5X8Q_CE,1.0
359,5X8Q_EG,5X8Q_CG,1.0
360,5X8Q_EG,6A22_AC,1.0
361,5X8Q_EG,6A22_AE,1.0
362,5X8Q_EG,6A22_AG,1.0
363,5X8Q_EG,6A22_CE,1.0
364,5X8Q_EG,6A22_CG,1.0
365,5X8Q_EG,6A22_EG,1.0
366,5X8Q_EG,6IVX_AC,1.0
367,5X8Q_EG,6IVX_AE,1.0
368,5X8Q_EG,6IVX_CE,1.0
369,5X8Q_EG,6S4N_AB,0.996
370,5X8Q_EG,6S4N_AC,0.982
371,5X8Q_EG,6S4N_BC,0.9
372,5X8Q_EG,6S4N_DA,0.878
373,5X8Q_EG,6S4N_DB,1.0
374,5X8Q_EG,6S4N_DC,0.996
375,5X8Q_EG,7E2O_AB,0.914
376,5X8Q_EG,8X7E_EG,1.0
377,6A22_AC,3IPS_AB,0.902
378,6A22_AC,3IPU_AB,0.9
379,6A22_AC,5AVI_AC,0.9
380,6A22_AC,5HJS_AB,0.898
381,6A22_AC,5JJM_AB,1.0
382,6A22_AC,5JJM_AC,0.99
383,6A22_AC,5JJM_AD,1.0
384,6A22_AC,5JJM_BC,0.984
385,6A22_AC,5JJM_BD,0.99
386,6A22_AC,5JJM_CD,1.0
387,6A22_AC,5X8Q_CE,1.0
388,6A22_AC,5X8Q_CG,1.0
389,6A22_AC,5X8Q_EG,1.0
390,6A22_AC,6A22_AE,1.0
391,6A22_AC,6A22_AG,1.0
392,6A22_AC,6A22_CE,1.0
393,6A22_AC,6A22_CG,1.0
394,6A22_AC,6A22_EG,1.0
395,6A22_AC,6IVX_AC,1.0
396,6A22_AC,6IVX_AE,1.0
397,6A22_AC,6IVX_CE,1.0
398,6A22_AC,6S4N_AB,0.996
399,6A22_AC,6S4N_AC,0.982
400,6A22_AC,6S4N_BC,0.9
401,6A22_AC,6S4N_DA,0.878
402,6A22_AC,6S4N_DB,1.0
403,6A22_AC,6S4N_DC,0.996
404,6A22_AC,7E2O_AB,0.914
405,6A22_AC,8X7E_EG,1.0
406,6A22_AE,3IPS_AB,0.902
407,6A22_AE,3IPU_AB,0.9
408,6A22_AE,5AVI_AC,0.9
409,6A22_AE,5HJS_AB,0.898
410,6A22_AE,5JJM_AB,1.0
411,6A22_AE,5JJM_AC,0.99
412,6A22_AE,5JJM_AD,1.0
413,6A22_AE,5JJM_BC,0.984
414,6A22_AE,5JJM_BD,0.99
415,6A22_AE,5JJM_CD,1.0
416,6A22_AE,5X8Q_CE,1.0
417,6A22_AE,5X8Q_CG,1.0
418,6A22_AE,5X8Q_EG,1.0
419,6A22_AE,6A22_AC,1.0
420,6A22_AE,6A22_AG,1.0
421,6A22_AE,6A22_CE,1.0
422,6A22_AE,6A22_CG,1.0
423,6A22_AE,6A22_EG,1.0
424,6A22_AE,6IVX_AC,1.0
425,6A22_AE,6IVX_AE,1.0
426,6A22_AE,6IVX_CE,1.0
427,6A22_AE,6S4N_AB,0.996
428,6A22_AE,6S4N_AC,0.982
429,6A22_AE,6S4N_BC,0.9
430,6A22_AE,6S4N_DA,0.878
431,6A22_AE,6S4N_DB,1.0
432,6A22_AE,6S4N_DC,0.996
433,6A22_AE,7E2O_AB,0.914
434,6A22_AE,8X7E_EG,1.0
435,6A22_AG,3IPS_AB,0.902
436,6A22_AG,3IPU_AB,0.9
437,6A22_AG,5AVI_AC,0.9
438,6A22_AG,5HJS_AB,0.898
439,6A22_AG,5JJM_AB,1.0
440,6A22_AG,5JJM_AC,0.99
441,6A22_AG,5JJM_AD,1.0
442,6A22_AG,5JJM_BC,0.984
443,6A22_AG,5JJM_BD,0.99
444,6A22_AG,5JJM_CD,1.0
445,6A22_AG,5X8Q_CE,1.0
446,6A22_AG,5X8Q_CG,1.0
447,6A22_AG,5X8Q_EG,1.0
448,6A22_AG,6A22_AC,1.0
449,6A22_AG,6A22_AE,1.0
450,6A22_AG,6A22_CE,1.0
451,6A22_AG,6A22_CG,1.0
452,6A22_AG,6A22_EG,1.0
453,6A22_AG,6IVX_AC,1.0
454,6A22_AG,6IVX_AE,1.0
455,6A22_AG,6IVX_CE,1.0
456,6A22_AG,6S4N_AB,0.996
457,6A22_AG,6S4N_AC,0.982
458,6A22_AG,6S4N_BC,0.9
459,6A22_AG,6S4N_DA,0.878
460,6A22_AG,6S4N_DB,1.0
461,6A22_AG,6S4N_DC,0.996
462,6A22_AG,7E2O_AB,0.914
463,6A22_AG,8X7E_EG,1.0
464,6A22_CE,3IPS_AB,0.902
465,6A22_CE,3IPU_AB,0.9
466,6A22_CE,5AVI_AC,0.9
467,6A22_CE,5HJS_AB,0.898
468,6A22_CE,5JJM_AB,1.0
469,6A22_CE,5JJM_AC,0.99
470,6A22_CE,5JJM_AD,1.0
471,6A22_CE,5JJM_BC,0.984
472,6A22_CE,5JJM_BD,0.99
473,6A22_CE,5JJM_CD,1.0
474,6A22_CE,5X8Q_CE,1.0
475,6A22_CE,5X8Q_CG,1.0
476,6A22_CE,5X8Q_EG,1.0
477,6A22_CE,6A22_AC,1.0
478,6A22_CE,6A22_AE,1.0
479,6A22_CE,6A22_AG,1.0
480,6A22_CE,6A22_CG,1.0
481,6A22_CE,6A22_EG,1.0
482,6A22_CE,6IVX_AC,1.0
483,6A22_CE,6IVX_AE,1.0
484,6A22_CE,6IVX_CE,1.0
485,6A22_CE,6S4N_AB,0.996
486,6A22_CE,6S4N_AC,0.982
487,6A22_CE,6S4N_BC,0.9
488,6A22_CE,6S4N_DA,0.878
489,6A22_CE,6S4N_DB,1.0
490,6A22_CE,6S4N_DC,0.996
491,6A22_CE,7E2O_AB,0.914
492,6A22_CE,8X7E_EG,1.0
493,6A22_CG,3IPS_AB,0.902
494,6A22_CG,3IPU_AB,0.9
495,6A22_CG,5AVI_AC,0.9
496,6A22_CG,5HJS_AB,0.898
497,6A22_CG,5JJM_AB,1.0
498,6A22_CG,5JJM_AC,0.99
499,6A22_CG,5JJM_AD,1.0
500,6A22_CG,5JJM_BC,0.984
501,6A22_CG,5JJM_BD,0.99
502,6A22_CG,5JJM_CD,1.0
503,6A22_CG,5X8Q_CE,1.0
504,6A22_CG,5X8Q_CG,1.0
505,6A22_CG,5X8Q_EG,1.0
506,6A22_CG,6A22_AC,1.0
507,6A22_CG,6A22_AE,1.0
508,6A22_CG,6A22_AG,1.0
509,6A22_CG,6A22_CE,1.0
510,6A22_CG,6A22_EG,1.0
511,6A22_CG,6IVX_AC,1.0
512,6A22_CG,6IVX_AE,1.0
513,6A22_CG,6IVX_CE,1.0
514,6A22_CG,6S4N_AB,0.996
515,6A22_CG,6S4N_AC,0.982
516,6A22_CG,6S4N_BC,0.9
517,6A22_CG,6S4N_DA,0.878
518,6A22_CG,6S4N_DB,1.0
519,6A22_CG,6S4N_DC,0.996
520,6A22_CG,7E2O_AB,0.914
521,6A22_CG,8X7E_EG,1.0
522,6A22_EG,3IPS_AB,0.902
523,6A22_EG,3IPU_AB,0.9
524,6A22_EG,5AVI_AC,0.9
525,6A22_EG,5HJS_AB,0.898
526,6A22_EG,5JJM_AB,1.0
527,6A22_EG,5JJM_AC,0.99
528,6A22_EG,5JJM_AD,1.0
529,6A22_EG,5JJM_BC,0.984
530,6A22_EG,5JJM_BD,0.99
531,6A22_EG,5JJM_CD,1.0
532,6A22_EG,5X8Q_CE,1.0
533,6A22_EG,5X8Q_CG,1.0
534,6A22_EG,5X8Q_EG,1.0
535,6A22_EG,6A22_AC,1.0
536,6A22_EG,6A22_AE,1.0
537,6A22_EG,6A22_AG,1.0
538,6A22_EG,6A22_CE,1.0
539,6A22_EG,6A22_CG,1.0
540,6A22_EG,6IVX_AC,1.0
541,6A22_EG,6IVX_AE,1.0
542,6A22_EG,6IVX_CE,1.0
543,6A22_EG,6S4N_AB,0.996
544,6A22_EG,6S4N_AC,0.982
545,6A22_EG,6S4N_BC,0.9
546,6A22_EG,6S4N_DA,0.878
547,6A22_EG,6S4N_DB,1.0
548,6A22_EG,6S4N_DC,0.996
549,6A22_EG,7E2O_AB,0.914
550,6A22_EG,8X7E_EG,1.0
551,6IVX_AC,3IPS_AB,0.902
552,6IVX_AC,3IPU_AB,0.9
553,6IVX_AC,5AVI_AC,0.9
554,6IVX_AC,5HJS_AB,0.898
555,6IVX_AC,5JJM_AB,1.0
556,6IVX_AC,5JJM_AC,0.99
557,6IVX_AC,5JJM_AD,1.0
558,6IVX_AC,5JJM_BC,0.984
559,6IVX_AC,5JJM_BD,0.99
560,6IVX_AC,5JJM_CD,1.0
561,6IVX_AC,5X8Q_CE,1.0
562,6IVX_AC,5X8Q_CG,1.0
563,6IVX_AC,5X8Q_EG,1.0
564,6IVX_AC,6A22_AC,1.0
565,6IVX_AC,6A22_AE,1.0
566,6IVX_AC,6A22_AG,1.0
567,6IVX_AC,6A22_CE,1.0
568,6IVX_AC,6A22_CG,1.0
569,6IVX_AC,6A22_EG,1.0
570,6IVX_AC,6IVX_AE,1.0
571,6IVX_AC,6IVX_CE,1.0
572,6IVX_AC,6S4N_AB,0.996
573,6IVX_AC,6S4N_AC,0.982
574,6IVX_AC,6S4N_BC,0.9
575,6IVX_AC,6S4N_DA,0.878
576,6IVX_AC,6S4N_DB,1.0
577,6IVX_AC,6S4N_DC,0.996
578,6IVX_AC,7E2O_AB,0.914
579,6IVX_AC,8X7E_EG,1.0
580,6IVX_AE,3IPS_AB,0.902
581,6IVX_AE,3IPU_AB,0.9
582,6IVX_AE,5AVI_AC,0.9
583,6IVX_AE,5HJS_AB,0.898
584,6IVX_AE,5JJM_AB,1.0
585,6IVX_AE,5JJM_AC,0.99
586,6IVX_AE,5JJM_AD,1.0
587,6IVX_AE,5JJM_BC,0.984
588,6IVX_AE,5JJM_BD,0.99
589,6IVX_AE,5JJM_CD,1.0
590,6IVX_AE,5X8Q_CE,1.0
591,6IVX_AE,5X8Q_CG,1.0
592,6IVX_AE,5X8Q_EG,1.0
593,6IVX_AE,6A22_AC,1.0
594,6IVX_AE,6A22_AE,1.0
595,6IVX_AE,6A22_AG,1.0
596,6IVX_AE,6A22_CE,1.0
597,6IVX_AE,6A22_CG,1.0
598,6IVX_AE,6A22_EG,1.0
599,6IVX_AE,6IVX_AC,1.0
600,6IVX_AE,6IVX_CE,1.0
601,6IVX_AE,6S4N_AB,0.996
602,6IVX_AE,6S4N_AC,0.982
603,6IVX_AE,6S4N_BC,0.9
604,6IVX_AE,6S4N_DA,0.878
605,6IVX_AE,6S4N_DB,1.0
606,6IVX_AE,6S4N_DC,0.996
607,6IVX_AE,7E2O_AB,0.914
608,6IVX_AE,8X7E_EG,1.0
609,6IVX_CE,3IPS_AB,0.902
610,6IVX_CE,3IPU_AB,0.9
611,6IVX_CE,5AVI_AC,0.9
612,6IVX_CE,5HJS_AB,0.898
613,6IVX_CE,5JJM_AB,1.0
614,6IVX_CE,5JJM_AC,0.99
615,6IVX_CE,5JJM_AD,1.0
616,6IVX_CE,5JJM_BC,0.984
617,6IVX_CE,5JJM_BD,0.99
618,6IVX_CE,5JJM_CD,1.0
619,6IVX_CE,5X8Q_CE,1.0
620,6IVX_CE,5X8Q_CG,1.0
621,6IVX_CE,5X8Q_EG,1.0
622,6IVX_CE,6A22_AC,1.0
623,6IVX_CE,6A22_AE,1.0
624,6IVX_CE,6A22_AG,1.0
625,6IVX_CE,6A22_CE,1.0
626,6IVX_CE,6A22_CG,1.0
627,6IVX_CE,6A22_EG,1.0
628,6IVX_CE,6IVX_AC,1.0
629,6IVX_CE,6IVX_AE,1.0
630,6IVX_CE,6S4N_AB,0.996
631,6IVX_CE,6S4N_AC,0.982
632,6IVX_CE,6S4N_BC,0.9
633,6IVX_CE,6S4N_DA,0.878
634,6IVX_CE,6S4N_DB,1.0
635,6IVX_CE,6S4N_DC,0.996
636,6IVX_CE,7E2O_AB,0.914
637,6IVX_CE,8X7E_EG,1.0
638,6S4N_AB,3IPS_AB,0.898
639,6S4N_AB,3IPU_AB,0.896
640,6S4N_AB,5AVI_AC,0.896
