ID,stage,error,details
2NPA_A,monomer,No coverage,"No reference meets coverage (80%)[(77.32342007434944, 83.2), (71.74721189591078, 80.08298755186722), (75.8364312267658, 80.0), (42.00743494423792, 27.294685990338163)]"
2NPA_C,monomer,No coverage,"No reference meets coverage (80%)[(79.02621722846442, 84.39999999999999), (72.65917602996255, 80.49792531120332), (77.90262172284645, 81.56862745098039), (42.69662921348314, 27.536231884057973)]"
2O9I_A,monomer,No coverage,"No reference meets coverage (80%)[(72.40143369175627, 80.80000000000001), (68.81720430107528, 79.66804979253112), (70.96774193548387, 77.64705882352942), (40.86021505376344, 27.536231884057973)]"
2O9I_B,monomer,No coverage,"No reference meets coverage (80%)[(72.04301075268818, 80.4), (68.81720430107528, 79.66804979253112), (70.96774193548387, 77.64705882352942), (40.86021505376344, 27.536231884057973)]"
2P54_A,monomer,No coverage,"No reference meets coverage (80%)[(78.27715355805243, 83.6), (72.28464419475655, 80.08298755186722), (78.65168539325843, 82.35294117647058), (40.44943820224719, 26.08695652173913)]"
2PRG_A,monomer,No coverage,"No reference meets coverage (80%)[(77.12177121771218, 83.6), (71.58671586715867, 80.49792531120332), (76.01476014760148, 80.7843137254902), (42.80442804428044, 28.019323671497588)]"
3BTR_C,monomer,No coverage,"No reference meets coverage (80%)[(21.07728337236534, 36.0), (20.140515222482435, 35.684647302904565), (20.60889929742389, 34.509803921568626), (24.121779859484775, 24.879227053140095)]"
3CBO_A,monomer,No coverage,"No reference meets coverage (80%)[(35.833333333333336, 34.4), (36.666666666666664, 36.51452282157676), (25.833333333333336, 24.313725490196077), (33.75, 19.565217391304348)]"
3CBP_A,monomer,No coverage,"No reference meets coverage (80%)[(36.666666666666664, 35.199999999999996), (36.666666666666664, 36.51452282157676), (25.833333333333336, 24.313725490196077), (33.75, 19.565217391304348)]"
3CS8_A,monomer,No coverage,"No reference meets coverage (80%)[(76.57992565055763, 82.39999999999999), (72.11895910780669, 80.49792531120332), (76.57992565055763, 80.7843137254902), (39.77695167286245, 25.845410628019323)]"
3CTB_A,monomer,No coverage,"No reference meets coverage (80%)[(70.38327526132404, 80.80000000000001), (70.73170731707317, 84.23236514522821), (68.6411149825784, 77.25490196078432), (38.32752613240418, 26.570048309178745)]"
3CTB_B,monomer,No coverage,"No reference meets coverage (80%)[(69.68641114982579, 80.0), (70.03484320557492, 83.40248962655602), (68.29268292682927, 76.86274509803923), (39.37282229965157, 27.294685990338163)]"
3CWD_B,monomer,No coverage,"No reference meets coverage (80%)[(79.61538461538461, 82.8), (74.61538461538461, 80.49792531120332), (78.84615384615384, 80.3921568627451), (43.46153846153846, 27.294685990338163)]"
3DXA_A,monomer,No coverage,"No reference meets coverage (80%)[(27.536231884057973, 30.4), (41.30434782608695, 47.30290456431535), (27.536231884057973, 29.80392156862745), (30.79710144927536, 20.531400966183575)]"
3DXA_E,monomer,No coverage,"No reference meets coverage (80%)[(32.37704918032787, 31.6), (32.37704918032787, 32.780082987551864), (34.83606557377049, 33.33333333333333), (24.18032786885246, 14.251207729468598)]"
3DXA_F,monomer,No coverage,"No reference meets coverage (80%)[(27.536231884057973, 30.4), (41.30434782608695, 47.30290456431535), (27.536231884057973, 29.80392156862745), (30.79710144927536, 20.531400966183575)]"
3DXA_J,monomer,No coverage,"No reference meets coverage (80%)[(33.19672131147541, 32.4), (32.37704918032787, 32.780082987551864), (34.83606557377049, 33.33333333333333), (36.0655737704918, 21.256038647342994)]"
3DXA_K,monomer,No coverage,"No reference meets coverage (80%)[(27.536231884057973, 30.4), (41.66666666666667, 47.71784232365145), (27.536231884057973, 29.80392156862745), (30.79710144927536, 20.531400966183575)]"
3DXA_O,monomer,No coverage,"No reference meets coverage (80%)[(36.0655737704918, 35.199999999999996), (29.918032786885245, 30.29045643153527), (34.83606557377049, 33.33333333333333), (33.60655737704918, 19.806763285024154)]"
3DZU_A,monomer,No coverage,"No reference meets coverage (80%)[(68.85813148788927, 79.60000000000001), (64.70588235294117, 77.59336099585063), (66.78200692041523, 75.68627450980392), (32.52595155709342, 22.705314009661837)]"
3DZU_D,monomer,No coverage,"No reference meets coverage (80%)[(57.938718662952645, 83.2), (54.038997214484674, 80.49792531120332), (56.54596100278552, 79.6078431372549), (28.690807799442897, 24.879227053140095)]"
3DZY_A,monomer,No coverage,"No reference meets coverage (80%)[(64.90066225165563, 78.4), (61.58940397350994, 77.17842323651453), (65.56291390728477, 77.64705882352942), (32.78145695364238, 23.91304347826087)]"
3DZY_D,monomer,No coverage,"No reference meets coverage (80%)[(58.75706214689266, 83.2), (55.08474576271186, 80.91286307053942), (58.47457627118644, 81.17647058823529), (29.09604519774011, 24.879227053140095)]"
3E00_A,monomer,No coverage,"No reference meets coverage (80%)[(68.5121107266436, 79.2), (64.01384083044984, 76.76348547717843), (68.16608996539793, 77.25490196078432), (32.17993079584775, 22.463768115942027)]"
3E00_D,monomer,No coverage,"No reference meets coverage (80%)[(57.85123966942148, 84.0), (53.71900826446281, 80.91286307053942), (57.02479338842975, 81.17647058823529), (30.303030303030305, 26.570048309178745)]"
3ET1_A,monomer,No coverage,"No reference meets coverage (80%)[(78.70722433460075, 82.8), (74.52471482889734, 81.32780082987551), (79.08745247148289, 81.56862745098039), (44.106463878327, 28.019323671497588)]"
3ET1_B,monomer,No coverage,"No reference meets coverage (80%)[(75.92592592592592, 82.0), (71.48148148148148, 80.08298755186722), (76.29629629629629, 80.7843137254902), (42.592592592592595, 27.77777777777778)]"
3ET3_A,monomer,No coverage,"No reference meets coverage (80%)[(79.23076923076923, 82.39999999999999), (74.23076923076923, 80.08298755186722), (78.84615384615384, 80.3921568627451), (42.69230769230769, 26.811594202898554)]"
3F1N_B,monomer,No coverage,"No reference meets coverage (80%)[(58.92857142857143, 26.400000000000002), (52.67857142857143, 24.481327800829874), (60.71428571428571, 26.666666666666668), (59.82142857142857, 16.183574879227052)]"
3F1O_B,monomer,No coverage,"No reference meets coverage (80%)[(58.92857142857143, 26.400000000000002), (61.60714285714286, 28.63070539419087), (60.71428571428571, 26.666666666666668), (45.535714285714285, 12.318840579710146)]"
3F1P_A,monomer,No coverage,"No reference meets coverage (80%)[(57.01754385964912, 26.0), (50.877192982456144, 24.066390041493776), (50.877192982456144, 22.745098039215687), (53.50877192982456, 14.734299516908212)]"
3F1P_B,monomer,No coverage,"No reference meets coverage (80%)[(58.55855855855856, 26.0), (56.75675675675676, 26.141078838174277), (61.261261261261254, 26.666666666666668), (49.549549549549546, 13.285024154589372)]"
3H0A_D,monomer,No coverage,"No reference meets coverage (80%)[(78.8679245283019, 83.6), (73.58490566037736, 80.91286307053942), (77.73584905660378, 80.7843137254902), (39.24528301886793, 25.120772946859905)]"
3H7W_B,monomer,No coverage,"No reference meets coverage (80%)[(54.54545454545454, 24.0), (53.63636363636364, 24.481327800829874), (60.909090909090914, 26.27450980392157), (50.0, 13.285024154589372)]"
3H82_A,monomer,No coverage,"No reference meets coverage (80%)[(55.65217391304348, 25.6), (50.43478260869565, 24.066390041493776), (54.78260869565217, 24.705882352941178), (52.17391304347826, 14.492753623188406)]"
3H82_B,monomer,No coverage,"No reference meets coverage (80%)[(61.06194690265486, 27.6), (49.557522123893804, 23.236514522821576), (53.98230088495575, 23.92156862745098), (49.557522123893804, 13.526570048309178)]"
3HVL_A,monomer,No coverage,"No reference meets coverage (80%)[(70.38327526132404, 80.80000000000001), (69.68641114982579, 82.98755186721992), (68.6411149825784, 77.25490196078432), (40.41811846689895, 28.019323671497588)]"
3HVL_B,monomer,No coverage,"No reference meets coverage (80%)[(69.20415224913495, 80.0), (69.55017301038062, 83.40248962655602), (67.82006920415225, 76.86274509803923), (38.75432525951557, 27.053140096618357)]"
3LMP_A,monomer,No coverage,"No reference meets coverage (80%)[(79.54545454545455, 84.0), (75.37878787878788, 82.57261410788381), (79.16666666666666, 81.96078431372548), (39.39393939393939, 25.120772946859905)]"
3PRG_A,monomer,No coverage,"No reference meets coverage (80%)[(76.40449438202246, 81.6), (72.28464419475655, 80.08298755186722), (76.77902621722846, 80.3921568627451), (40.44943820224719, 26.08695652173913)]"
3QT0_A,monomer,No coverage,"No reference meets coverage (80%)[(77.90262172284645, 83.2), (74.53183520599251, 82.57261410788381), (76.40449438202246, 80.0), (42.69662921348314, 27.536231884057973)]"
3R8A_A,monomer,No coverage,"No reference meets coverage (80%)[(79.6812749003984, 80.0), (77.29083665338645, 80.49792531120332), (78.88446215139442, 77.64705882352942), (39.04382470119522, 23.67149758454106)]"
3R8D_A,monomer,No coverage,"No reference meets coverage (80%)[(75.37878787878788, 79.60000000000001), (72.34848484848484, 79.25311203319502), (73.86363636363636, 76.47058823529412), (42.42424242424242, 27.053140096618357)]"
3T03_A,monomer,No coverage,"No reference meets coverage (80%)[(78.11320754716982, 82.8), (72.45283018867924, 79.66804979253112), (78.11320754716982, 81.17647058823529), (44.15094339622642, 28.26086956521739)]"
3TX7_A,monomer,No coverage,"No reference meets coverage (80%)[(17.658730158730158, 35.6), (16.071428571428573, 33.60995850622407), (19.444444444444446, 38.43137254901961), (20.833333333333336, 25.36231884057971)]"
3VN2_A,monomer,No coverage,"No reference meets coverage (80%)[(79.6934865900383, 83.2), (74.71264367816092, 80.91286307053942), (78.544061302682, 80.3921568627451), (42.911877394636015, 27.053140096618357)]"
4A69_A,monomer,No coverage,"No reference meets coverage (80%)[(24.932249322493224, 36.8), (21.680216802168022, 33.19502074688796), (25.745257452574528, 37.254901960784316), (26.287262872628723, 23.42995169082126)]"
4A69_B,monomer,No coverage,"No reference meets coverage (80%)[(27.64227642276423, 40.8), (26.01626016260163, 39.83402489626556), (25.745257452574528, 37.254901960784316), (27.100271002710024, 24.154589371980677)]"
4CI5_A,monomer,No coverage,"No reference meets coverage (80%)[(79.61538461538461, 82.8), (75.38461538461539, 81.32780082987551), (79.61538461538461, 81.17647058823529), (40.76923076923077, 25.60386473429952)]"
4CI5_B,monomer,No coverage,"No reference meets coverage (80%)[(78.07692307692308, 81.2), (74.23076923076923, 80.08298755186722), (76.15384615384615, 77.64705882352942), (40.38461538461539, 25.36231884057971)]"
4EQ1_A,monomer,No coverage,"No reference meets coverage (80%)[(57.798165137614674, 25.2), (55.04587155963303, 24.896265560165975), (55.96330275229357, 23.92156862745098), (58.71559633027523, 15.458937198067632)]"
4FGY_A,monomer,No coverage,"No reference meets coverage (80%)[(79.24528301886792, 84.0), (73.9622641509434, 81.32780082987551), (77.73584905660378, 80.7843137254902), (42.26415094339623, 27.053140096618357)]"
4GHI_B,monomer,No coverage,"No reference meets coverage (80%)[(58.18181818181818, 25.6), (53.63636363636364, 24.481327800829874), (61.81818181818181, 26.666666666666668), (50.0, 13.285024154589372)]"
4IQR_A,monomer,No coverage,"No reference meets coverage (80%)[(65.89403973509934, 79.60000000000001), (62.251655629139066, 78.00829875518673), (66.55629139072848, 78.82352941176471), (31.788079470198678, 23.18840579710145)]"
4IQR_B,monomer,No coverage,"No reference meets coverage (80%)[(63.31168831168831, 78.0), (61.36363636363637, 78.42323651452283), (63.961038961038966, 77.25490196078432), (31.818181818181817, 23.67149758454106)]"
4IQR_E,monomer,No coverage,"No reference meets coverage (80%)[(65.67656765676567, 79.60000000000001), (62.37623762376238, 78.42323651452283), (65.67656765676567, 78.03921568627452), (27.722772277227726, 20.28985507246377)]"
4IQR_F,monomer,No coverage,"No reference meets coverage (80%)[(63.37579617834395, 79.60000000000001), (60.828025477707, 79.25311203319502), (62.738853503184714, 77.25490196078432), (31.528662420382165, 23.91304347826087)]"
4J5W_A,monomer,No coverage,"No reference meets coverage (80%)[(68.02721088435374, 80.0), (68.36734693877551, 83.40248962655602), (69.04761904761905, 79.6078431372549), (39.795918367346935, 28.26086956521739)]"
4J5W_B,monomer,No coverage,"No reference meets coverage (80%)[(67.91808873720136, 79.60000000000001), (68.94197952218431, 83.81742738589212), (67.91808873720136, 78.03921568627452), (40.27303754266212, 28.502415458937197)]"
4J5X_A,monomer,No coverage,"No reference meets coverage (80%)[(68.94197952218431, 80.80000000000001), (68.60068259385666, 83.40248962655602), (66.89419795221842, 76.86274509803923), (37.883959044368595, 26.811594202898554)]"
4J5X_B,monomer,No coverage,"No reference meets coverage (80%)[(68.60068259385666, 80.4), (68.94197952218431, 83.81742738589212), (66.55290102389078, 76.47058823529412), (38.225255972696246, 27.053140096618357)]"
4JC3_A,monomer,No coverage,"No reference meets coverage (80%)[(47.03389830508475, 44.4), (37.28813559322034, 36.51452282157676), (44.06779661016949, 40.78431372549019), (38.13559322033898, 21.73913043478261)]"
4JDD_A,monomer,No coverage,"No reference meets coverage (80%)[(44.06779661016949, 41.6), (38.559322033898304, 37.75933609958506), (43.64406779661017, 40.3921568627451), (38.559322033898304, 21.980676328502415)]"
4LOG_A,monomer,No coverage,"No reference meets coverage (80%)[(28.75226039783002, 63.6), (30.018083182640144, 68.87966804979253), (29.8372513562387, 64.70588235294117), (21.15732368896926, 28.26086956521739)]"
4LOG_B,monomer,No coverage,"No reference meets coverage (80%)[(69.82758620689656, 64.8), (71.55172413793103, 68.87966804979253), (72.41379310344827, 65.88235294117646), (53.879310344827594, 30.193236714975846)]"
4NQA_A,monomer,No coverage,"No reference meets coverage (80%)[(63.09148264984227, 80.0), (60.252365930599375, 79.25311203319502), (62.14511041009464, 77.25490196078432), (29.96845425867508, 22.946859903381643)]"
4NQA_B,monomer,No coverage,"No reference meets coverage (80%)[(57.72357723577236, 85.2), (54.74254742547425, 83.81742738589212), (55.55555555555556, 80.3921568627451), (27.371273712737125, 24.396135265700483)]"
4NQA_H,monomer,No coverage,"No reference meets coverage (80%)[(63.00940438871473, 80.4), (60.81504702194357, 80.49792531120332), (63.63636363636363, 79.6078431372549), (29.46708463949843, 22.705314009661837)]"
4NQA_I,monomer,No coverage,"No reference meets coverage (80%)[(55.58441558441558, 85.6), (52.72727272727272, 84.23236514522821), (54.54545454545454, 82.35294117647058), (25.97402597402597, 24.154589371980677)]"
4NY9_A,monomer,No coverage,"No reference meets coverage (80%)[(77.6923076923077, 80.80000000000001), (73.07692307692307, 78.83817427385893), (75.38461538461539, 76.86274509803923), (42.69230769230769, 26.811594202898554)]"
4O6F_A,monomer,No coverage,"No reference meets coverage (80%)[(22.505800464037122, 38.800000000000004), (22.2737819025522, 39.83402489626556), (21.34570765661253, 36.07843137254902), (29.698375870069604, 30.917874396135264)]"
4PRH_A,monomer,No coverage,"No reference meets coverage (80%)[(32.083333333333336, 30.8), (32.5, 32.365145228215766), (31.666666666666664, 29.80392156862745), (40.416666666666664, 23.42995169082126)]"
4PRH_D,monomer,No coverage,"No reference meets coverage (80%)[(28.71287128712871, 23.200000000000003), (30.198019801980198, 25.311203319502074), (28.71287128712871, 22.745098039215687), (33.663366336633665, 16.425120772946862)]"
4PRH_E,monomer,No coverage,"No reference meets coverage (80%)[(32.083333333333336, 30.8), (25.0, 24.896265560165975), (35.833333333333336, 33.72549019607843), (27.083333333333332, 15.70048309178744)]"
4PRI_A,monomer,No coverage,"No reference meets coverage (80%)[(26.811594202898554, 29.599999999999998), (28.26086956521739, 32.365145228215766), (29.71014492753623, 32.15686274509804), (30.434782608695656, 20.28985507246377)]"
4PRI_D,monomer,No coverage,"No reference meets coverage (80%)[(29.207920792079207, 23.599999999999998), (28.71287128712871, 24.066390041493776), (27.722772277227726, 21.96078431372549), (28.71287128712871, 14.009661835748794)]"
4PRI_E,monomer,No coverage,"No reference meets coverage (80%)[(35.0, 33.6), (25.416666666666664, 25.311203319502074), (34.583333333333336, 32.549019607843135), (27.083333333333332, 15.70048309178744)]"
4PRP_A,monomer,No coverage,"No reference meets coverage (80%)[(26.811594202898554, 29.599999999999998), (28.26086956521739, 32.365145228215766), (27.173913043478258, 29.411764705882355), (30.434782608695656, 20.28985507246377)]"
4PRP_D,monomer,No coverage,"No reference meets coverage (80%)[(27.0, 21.6), (28.000000000000004, 23.236514522821576), (28.000000000000004, 21.96078431372549), (28.999999999999996, 14.009661835748794)]"
4PRP_E,monomer,No coverage,"No reference meets coverage (80%)[(31.950207468879665, 30.8), (27.800829875518673, 27.800829875518673), (37.344398340248965, 35.294117647058826), (23.236514522821576, 13.526570048309178)]"
4S0S_A,monomer,No coverage,"No reference meets coverage (80%)[(73.26007326007326, 80.0), (69.59706959706959, 78.83817427385893), (72.89377289377289, 78.03921568627452), (41.39194139194139, 27.294685990338163)]"
4S0S_B,monomer,No coverage,"No reference meets coverage (80%)[(73.62637362637363, 80.4), (69.59706959706959, 78.83817427385893), (72.89377289377289, 78.03921568627452), (41.02564102564102, 27.053140096618357)]"
4S0T_A,monomer,No coverage,"No reference meets coverage (80%)[(71.32616487455196, 79.60000000000001), (69.53405017921148, 80.49792531120332), (70.96774193548387, 77.64705882352942), (41.935483870967744, 28.26086956521739)]"
4S0T_B,monomer,No coverage,"No reference meets coverage (80%)[(71.37809187279152, 80.80000000000001), (68.55123674911661, 80.49792531120332), (70.6713780918728, 78.43137254901961), (41.342756183745585, 28.26086956521739)]"
4X1F_A,monomer,No coverage,"No reference meets coverage (80%)[(73.80073800738008, 80.0), (69.37269372693727, 78.00829875518673), (71.95571955719558, 76.47058823529412), (43.17343173431734, 28.26086956521739)]"
4X1G_A,monomer,No coverage,"No reference meets coverage (80%)[(72.04301075268818, 80.4), (68.10035842293907, 78.83817427385893), (69.17562724014337, 75.68627450980392), (41.935483870967744, 28.26086956521739)]"
4XAJ_A,monomer,No coverage,"No reference meets coverage (80%)[(27.816901408450708, 63.2), (30.28169014084507, 71.36929460580913), (27.816901408450708, 61.96078431372549), (21.30281690140845, 29.227053140096622)]"
4XAJ_B,monomer,No coverage,"No reference meets coverage (80%)[(27.017543859649123, 61.6), (30.0, 70.95435684647303), (27.719298245614034, 61.96078431372549), (21.578947368421055, 29.71014492753623)]"
4XAJ_C,monomer,No coverage,"No reference meets coverage (80%)[(28.87323943661972, 65.60000000000001), (29.401408450704224, 69.29460580912863), (29.401408450704224, 65.49019607843137), (21.830985915492956, 29.951690821256037)]"
4XAJ_D,monomer,No coverage,"No reference meets coverage (80%)[(28.345070422535212, 64.4), (29.753521126760564, 70.12448132780082), (27.640845070422536, 61.568627450980394), (24.823943661971832, 34.05797101449276)]"
4XAO_A,monomer,No coverage,"No reference meets coverage (80%)[(72.36363636363636, 79.60000000000001), (68.72727272727272, 78.42323651452283), (71.27272727272728, 76.86274509803923), (41.81818181818181, 27.77777777777778)]"
4XHD_A,monomer,No coverage,"No reference meets coverage (80%)[(75.3731343283582, 80.80000000000001), (70.8955223880597, 78.83817427385893), (72.76119402985076, 76.47058823529412), (43.656716417910445, 28.26086956521739)]"
4XT2_D,monomer,No coverage,"No reference meets coverage (80%)[(57.009345794392516, 24.4), (55.140186915887845, 24.481327800829874), (57.943925233644855, 24.313725490196077), (50.467289719626166, 13.043478260869565)]"
5A86_A,monomer,No coverage,"No reference meets coverage (80%)[(75.27675276752768, 81.6), (71.58671586715867, 80.49792531120332), (71.95571955719558, 76.47058823529412), (40.22140221402214, 26.32850241545894)]"
5A86_B,monomer,No coverage,"No reference meets coverage (80%)[(73.35766423357664, 80.4), (69.7080291970803, 79.25311203319502), (71.53284671532847, 76.86274509803923), (40.51094890510949, 26.811594202898554)]"
5APH_A,monomer,No coverage,"No reference meets coverage (80%)[(79.36507936507937, 80.0), (79.76190476190477, 83.40248962655602), (78.57142857142857, 77.64705882352942), (41.269841269841265, 25.120772946859905)]"
5AZT_A,monomer,No coverage,"No reference meets coverage (80%)[(79.3103448275862, 82.8), (73.18007662835248, 79.25311203319502), (79.3103448275862, 81.17647058823529), (42.5287356321839, 26.811594202898554)]"
5DV3_A,monomer,No coverage,"No reference meets coverage (80%)[(78.70722433460075, 82.8), (73.38403041825094, 80.08298755186722), (79.08745247148289, 81.56862745098039), (40.3041825095057, 25.60386473429952)]"
5DV6_A,monomer,No coverage,"No reference meets coverage (80%)[(79.6934865900383, 83.2), (74.71264367816092, 80.91286307053942), (78.544061302682, 80.3921568627451), (39.84674329501915, 25.120772946859905)]"
5DV8_A,monomer,No coverage,"No reference meets coverage (80%)[(76.57992565055763, 82.39999999999999), (72.4907063197026, 80.91286307053942), (75.8364312267658, 80.0), (43.12267657992565, 28.019323671497588)]"
5DVC_A,monomer,No coverage,"No reference meets coverage (80%)[(76.86567164179104, 82.39999999999999), (72.76119402985076, 80.91286307053942), (77.23880597014924, 81.17647058823529), (39.55223880597015, 25.60386473429952)]"
5DWL_A,monomer,No coverage,"No reference meets coverage (80%)[(76.75276752767527, 83.2), (71.95571955719558, 80.91286307053942), (77.12177121771218, 81.96078431372548), (42.80442804428044, 28.019323671497588)]"
5G42_A,monomer,No coverage,"No reference meets coverage (80%)[(79.36507936507937, 80.0), (79.36507936507937, 82.98755186721992), (78.96825396825396, 78.03921568627452), (42.06349206349206, 25.60386473429952)]"
5G43_A,monomer,No coverage,"No reference meets coverage (80%)[(79.76190476190477, 80.4), (79.76190476190477, 83.40248962655602), (79.36507936507937, 78.43137254901961), (41.66666666666667, 25.36231884057971)]"
5GTN_A,monomer,No coverage,"No reference meets coverage (80%)[(77.12177121771218, 83.6), (74.16974169741697, 83.40248962655602), (77.12177121771218, 81.96078431372548), (42.435424354243544, 27.77777777777778)]"
5GTO_A,monomer,No coverage,"No reference meets coverage (80%)[(77.90262172284645, 83.2), (72.65917602996255, 80.49792531120332), (77.52808988764045, 81.17647058823529), (38.951310861423224, 25.120772946859905)]"
5GTP_A,monomer,No coverage,"No reference meets coverage (80%)[(79.6934865900383, 83.2), (74.71264367816092, 80.91286307053942), (79.3103448275862, 81.17647058823529), (39.84674329501915, 25.120772946859905)]"
5JI0_D,monomer,No coverage,"No reference meets coverage (80%)[(78.43866171003717, 84.39999999999999), (72.4907063197026, 80.91286307053942), (76.57992565055763, 80.7843137254902), (42.75092936802974, 27.77777777777778)]"
5KQ1_B,monomer,No coverage,"No reference meets coverage (80%)[(37.71186440677966, 35.6), (41.10169491525424, 40.24896265560166), (35.59322033898305, 32.94117647058823), (44.91525423728814, 25.60386473429952)]"
5KQ1_E,monomer,No coverage,"No reference meets coverage (80%)[(36.17021276595745, 34.0), (40.42553191489361, 39.41908713692946), (34.8936170212766, 32.15686274509804), (36.17021276595745, 20.531400966183575)]"
5KQ4_B,monomer,No coverage,"No reference meets coverage (80%)[(34.29752066115703, 33.2), (38.429752066115704, 38.589211618257266), (35.12396694214876, 33.33333333333333), (34.710743801652896, 20.28985507246377)]"
5KQ4_E,monomer,No coverage,"No reference meets coverage (80%)[(35.74468085106383, 33.6), (39.148936170212764, 38.17427385892116), (36.17021276595745, 33.33333333333333), (50.212765957446805, 28.502415458937197)]"
